"Abbey Park","Abbey Park",52.645191,-1.132222
"Aberbeeg","Ebbw Valley Cycle Track",51.711165,-3.144286
"Aberdare","Aberdare Park",51.718796,-3.460089
"Aberdeen","Aberdeen Beach Esplanade",57.173898,-2.086256
"Aberfields","Aberfields",51.614631,-3.538198
"Aberystwyth juniors","Plas Crug Park",52.412885,-4.078402
"Aberystwyth","Plascrug Park",52.414546,-4.080401
"Abingdon","Rye Meadow, Abingdon",51.667957,-1.277429
"Acton juniors","Acton Park",51.507905,-0.258062
"Agnew","Agnew Park",54.908188,-5.0349
"Albert Park juniors","Albert Park juniors",54.564844,-1.234852
"Albert","Albert Park, Middlesbrough",54.564972,-1.231788
"Aldenham","Aldenham Country Park",51.647953,-0.316507
"Alderford Lake","Alderford Lake",52.953181,-2.675436
"Alderley Park","Alderley Park",53.2793,-2.231854
"Alderman Kneeshaw juniors","Alderman Kneeshaw Recreation Ground",53.769454,-0.262291
"Alexandra juniors, Moss Side","Alexandra Park",53.450725,-2.248631
"Alexandra juniors, Oldham","Alexandra Park",53.533022,-2.104298
"Alexandra","Alexandra Park",53.450142,-2.248827
"Alice Holt","Alice Holt Forest",51.16858,-0.836903
"Ally Pally","Alexandra Palace, Haringey",51.595936,-0.12233
"Alness","Crawl Park",57.694306,-4.256669
"Alton Water","Alton Water Reservoir",51.974806,1.134021
"Alvaston","Alvaston Park",52.906173,-1.440173
"Alyn Waters juniors","Alyn Waters Country Park",53.083926,-3.018039
"Ancholme Valley Way","Ancholme Valley Way",53.553676,-0.496441
"Anchorsholme juniors","Anchorsholme",53.870192,-3.045723
"Andover juniors","Charlton Sports Fields",51.220901,-1.504812
"Andover","Charlton Lakeside, Andover",51.221092,-1.512766
"Antrim Castle Gardens juniors","Antrim Castle Gardens juniors",54.715944,-6.223074
"Antrim","Loughshore Park",54.717078,-6.238818
"Archerfield Walled Garden juniors","Archerfield Walled Garden",56.045433,-2.802062
"Armagh","Palace Demesne Public Park",54.339812,-6.652951
"Armley","Armley Park",53.800347,-1.590893
"Arrow Valley","Arrow Valley Park",52.305986,-1.913661
"Ashbourne Recreation Ground","Ashbourne Recreation Ground",53.018719,-1.727477
