point_id,lat,lon,mode,duration_min,status,legs,n_journeys,queried_at
0,51.372434,-0.16745,cycle,88.0,ok,cycle,1,2026-03-16T08:46:01.958026
0,51.372434,-0.16745,transit,81.0,ok,walking -> bus -> tube -> tube -> bus -> walking,3,2026-03-16T08:46:03.640901
1,51.372434,-0.16456,cycle,89.0,ok,cycle,1,2026-03-16T08:46:05.931566
1,51.372434,-0.16456,transit,79.0,ok,walking -> national-rail -> walking -> bus -> walking,3,2026-03-16T08:46:07.623202
2,51.372434,-0.161671,cycle,88.0,ok,cycle,1,2026-03-16T08:46:14.114432
2,51.372434,-0.161671,transit,78.0,ok,walking -> bus -> national-rail -> walking -> bus -> walking,3,2026-03-16T08:46:18.797094
3,51.372434,-0.158782,cycle,89.0,ok,cycle,1,2026-03-16T08:46:25.923140
3,51.372434,-0.158782,transit,82.0,ok,walking -> national-rail -> walking -> bus -> walking,3,2026-03-16T08:46:27.717172
4,51.372434,-0.155893,cycle,91.0,ok,cycle,1,2026-03-16T08:46:31.855682
4,51.372434,-0.155893,transit,88.0,ok,walking -> bus -> national-rail -> walking -> bus -> walking,3,2026-03-16T08:46:36.840030
3,51.372434,-0.158782,transit,,"error: HTTPSConnectionPool(host='api.tfl.gov.uk', port=443): Max retries exceeded with url: /journey/journeyresults/51.5503,-0.127/to/51.372434,-0.158782?mode=tube%2Cbus%2Coverground%2Cdlr%2Celizabeth-line%2Ctram%2Cnational-rail&date=20260316&time=0900&timeIs=departing (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)')))",,,2026-03-16T08:47:06.838188
15,51.372434,-0.124111,cycle,89,ok,cycle,1,2026-03-16T08:47:07.651853
15,51.372434,-0.124111,transit,91,ok,walking -> bus -> national-rail -> national-rail -> walking -> tram -> walking,3,2026-03-16T08:47:13.327375
16,51.372434,-0.121221,cycle,88,ok,cycle,1,2026-03-16T08:47:19.104069
16,51.372434,-0.121221,transit,86,ok,walking -> bus -> national-rail -> national-rail -> walking -> tram -> walking,3,2026-03-16T08:47:24.890625
17,51.372434,-0.118332,cycle,87,ok,cycle,1,2026-03-16T08:47:31.158409
17,51.372434,-0.118332,transit,82,ok,walking -> bus -> national-rail -> national-rail -> bus -> walking,3,2026-03-16T08:47:35.828403
18,51.372434,-0.115443,cycle,87,ok,cycle,1,2026-03-16T08:47:42.196526
18,51.372434,-0.115443,transit,80,ok,walking -> bus -> national-rail -> national-rail -> walking -> tram -> walking,3,2026-03-16T08:47:48.806946
19,51.372434,-0.112554,cycle,85,ok,cycle,1,2026-03-16T08:47:55.445622
19,51.372434,-0.112554,transit,78,ok,walking -> bus -> national-rail -> national-rail -> walking -> tram -> walking,3,2026-03-16T08:48:00.411594
20,51.372434,-0.109664,cycle,84,ok,cycle,1,2026-03-16T08:48:06.254016
4,51.372434,-0.155893,cycle,,"error: HTTPSConnectionPool(host='api.tfl.gov.uk', port=443): Max retries exceeded with url: /journey/journeyresults/51.5503,-0.127/to/51.372434,-0.155893?mode=cycle&date=20260316&time=0900&timeIs=departing&cyclePreference=AllTheWay (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)')))",,,2026-03-16T08:48:08.612461
20,51.372434,-0.109664,transit,76,ok,walking -> bus -> national-rail -> national-rail -> bus -> walking,3,2026-03-16T08:48:11.390368
21,51.372434,-0.106775,cycle,84,ok,cycle,1,2026-03-16T08:48:17.188023
21,51.372434,-0.106775,transit,74,ok,walking -> bus -> national-rail -> national-rail -> walking -> tram -> walking,3,2026-03-16T08:48:22.450804
22,51.372434,-0.103886,cycle,84,ok,cycle,1,2026-03-16T08:48:30.662687
22,51.372434,-0.103886,transit,73,ok,walking -> bus -> national-rail -> national-rail -> bus -> walking,3,2026-03-16T08:48:35.612411
23,51.372434,-0.100997,cycle,84,ok,cycle,1,2026-03-16T08:48:40.992133
23,51.372434,-0.100997,transit,70,ok,walking -> bus -> national-rail -> national-rail -> walking,3,2026-03-16T08:48:45.778180
24,51.372434,-0.098107,cycle,84,ok,cycle,1,2026-03-16T08:48:51.368615
24,51.372434,-0.098107,transit,67,ok,walking -> bus -> national-rail -> national-rail -> bus -> walking,3,2026-03-16T08:48:55.943399
25,51.372434,-0.095218,cycle,84,ok,cycle,1,2026-03-16T08:49:02.416316
25,51.372434,-0.095218,transit,66,ok,walking -> bus -> national-rail -> national-rail -> walking,3,2026-03-16T08:49:06.709269
4,51.372434,-0.155893,transit,,"error: HTTPSConnectionPool(host='api.tfl.gov.uk', port=443): Max retries exceeded with url: /journey/journeyresults/51.5503,-0.127/to/51.372434,-0.155893?mode=tube%2Cbus%2Coverground%2Cdlr%2Celizabeth-line%2Ctram%2Cnational-rail&date=20260316&time=0900&timeIs=departing (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)')))",,,2026-03-16T08:49:10.329870
26,51.372434,-0.092329,cycle,84,ok,cycle,1,2026-03-16T08:49:12.808764
26,51.372434,-0.092329,transit,65,ok,walking -> bus -> national-rail -> national-rail -> walking,3,2026-03-16T08:49:17.463702
27,51.372434,-0.08944,cycle,84,ok,cycle,1,2026-03-16T08:49:23.524042
27,51.372434,-0.08944,transit,65,ok,walking -> bus -> national-rail -> national-rail -> walking,3,2026-03-16T08:49:27.778219
28,51.372434,-0.08655,cycle,85,ok,cycle,1,2026-03-16T08:49:34.068394
28,51.372434,-0.08655,transit,67,ok,walking -> bus -> national-rail -> national-rail -> bus -> walking,3,2026-03-16T08:49:38.428438
29,51.374231,-0.181896,cycle,88,ok,cycle,1,2026-03-16T08:49:44.343891
29,51.374231,-0.181896,transit,82,ok,walking -> bus -> tube -> tube -> bus -> walking,3,2026-03-16T08:49:48.654975
30,51.374231,-0.179007,cycle,88,ok,cycle,1,2026-03-16T08:49:54.571158
30,51.374231,-0.179007,transit,78,ok,walking -> bus -> tube -> tube -> bus -> walking,3,2026-03-16T08:49:58.555958
31,51.374231,-0.176117,cycle,88,ok,cycle,1,2026-03-16T08:50:04.963871
31,51.374231,-0.176117,transit,79,ok,walking -> bus -> tube -> tube -> bus -> walking,3,2026-03-16T08:50:09.240202
